SampleID,MalwareID,MD5hash
1,1,0002c83153998f9ed51c5a5078de46a6
2,1,001a255c29530c33702b244b5ade0b76
3,1,001cfa63ad79aaf3e4a2b85a2e7f227f
4,1,001d106b8f74e8a92d8d19b39fb4afea
5,1,001eaf022daacf081db1a0cfb72af1b0
6,1,001ed0ac1fbb06d474213b1d37d60021
7,1,002bba81227633901f9c92b0b0d03514
8,1,002bc357b589377bef56ad8f763dba4f
9,1,002bde0d5afb6a8dbb8ef8441497b180
10,1,002d95bbd1755cb55565944e0bd46a10
11,1,002e8680f266e1f26b68b86628b13878
12,1,002fb2f7e16db540d39e47f70b258a96
13,1,01a1f3c3b1b11c7538d3bfeb2e97e5c0
14,1,01a33dfb20a3dafb2dfc0d30b8b94e10
15,1,01a3f144a15edbbd08fc606ecbaca7da
16,1,01a43fa78b7b79fceeee8dfa7dda0e18
17,1,01a53acf19d8e1341b3ea97189fbbe00
18,1,01a8c4b8243edead1ff6de0a9d9f01d0
19,1,01a8d99cc288fdff1aca1c4f00704321
20,1,01a8fb9e746dd2d600ac3c1c26b7e4cb
21,1,01a98142b184b284e6540f933de8cc31
22,1,01a9d166e6f35c7fb1c59c5c6477f4c7
23,1,01ab6a23f7543b96544db55873079288
24,1,01aba858bc7c376bb3a549d6162ed256
25,1,01ad91ef61505499209230963d195c47
26,1,01aede06342d40843fbf99a1f2fb4d64
27,1,01b1859ddf8ba3549cd31f12d60ab9fc
28,1,01b1a6079054d5d82896773e2118ae5d
29,1,01b258d8142ed08a541a916386872be3
30,1,01b2a2958e367d56dfd513a110e63aef
31,1,01b7204632e00e67d3691a35db06f6e0
32,1,01b83a7d3052810627ac2a76e02818b9
33,1,01b85652db934fb4187921af8f7d0e90
34,1,01b8f61129915211a90f950fa2053cb3
35,1,01b925f630d42983d5942885aa4dfd90
36,1,01bbb5eee02be5c95726356c9e13d6d7
37,1,01bcceb0ef77a9aaa1e2f044fbe94156
38,1,01bd02b422cdc7b9b4dc5036d3ed3550
39,1,01be967e73679d75ba8cdc67d6dcce00
40,1,01c0577725a79b9a300831ead296cec9
41,1,01c0e709db088465f1700c41a5037e93
42,1,01c3756eb2c8e956ed9bfda0641b6680
43,1,01c75638b91bd9a36b996f5d3d80c7b8
44,1,01c7bf20e1560d95c00c2458e3925560
45,1,01c900185a4004e7ec7c4e5c765226a0
46,1,01ca4239e92121046252f528aa46d8e0
47,1,01cbdb10ab96d7de94ac1db156ad0572
48,1,01cc10f794a3bf364f583a1b7ab5a9c4
49,1,01cc1baddec97a144acc941c52d3b9c8
50,1,01cc9354adbe2fe194eba691d7a225a9
51,1,01d08dd9a4b8f730a4b42305561858b0
52,1,01d2d1d522cd829ce71268764fe09b00
53,1,01d34bb243ca15fc733964eb0e988d32
54,1,01d51bbed8e7741e349dfc6019dab7b0
55,1,01d7e427369568446d28139170ee4022
56,1,01d8ae207de44f7b1605bd255afb4744
57,1,01dbac2cd5a08d4f2baf81f1c6da5e30
58,1,01dc216274bd9647a6fc12644d28bf39
59,1,01dcc83d97fff22001b438c9c855cf2f
60,1,01de6b549881d64c54eabc0c6ad656a9
61,1,01e190f66e6075da60f81c07b4966e1b
62,1,01e3756d1652a2d58bd170061aab9e92
63,1,01e43e1719695e3b6d8911dc77de8460
64,1,01e567e3325614213e9703e7d535c33a
65,1,01e6bcad0754fdcd1c5903505a6b08ca
66,1,01e6ffd7879fe3df912da5f0dc217b6c
